genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed: 9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	sbwt	none	15	0	199941829	214561016	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_0	na	na	na	236.34	6392260	1.74	238880	Neg	1000000	236.34	6392260	1.74	9.557979986268906
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	sbwt	none	15	0	199941829	214561016	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_0	na	na	na	236.34	6392260	1.6900000000000002	238808	Pos	1000000	236.34	6392260	1.6900000000000002	9.555099148362798
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	sbwt	none	15	0	199941829	264799192	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_0	na	na	na	236.34	6392260	0.44999999999999996	287928	Str	999856	236.34	6392260	0.45006480933254384	11.520470786530616
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	sbwt	none	15	1	199941829	152969170	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_1	na	na	na	158.76999999999998	3214904	18.669999999999998	178852	Neg	1000000	158.76999999999998	3214904	18.669999999999998	7.156161405325546
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	sbwt	none	15	1	199941829	152969170	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_1	na	na	na	158.76999999999998	3214904	15.52	178868	Pos	1000000	158.76999999999998	3214904	15.520000000000001	7.156801591526904
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	sbwt	none	15	1	199941829	187249994	sbwt.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_15.d_1	na	na	na	158.76999999999998	3214904	4.47	212356	Str	999856	158.76999999999998	3214904	4.470643772703269	8.496711310968351
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	SSHash	eulertigs	17	na	314796150	846143516	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_17.d_na	na	1086.12	36034436	195.69	6797548	3.06	830144	Neg	1000000	1281.81	36034436	3.06	21.096674784618553
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	SSHash	eulertigs	17	na	314796150	846143516	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_17.d_na	na	1086.12	36034436	195.69	6797548	2.63	830144	Pos	1000000	1281.81	36034436	2.63	21.096674784618553
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	SSHash	eulertigs	17	na	314796150	846143516	sshash.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_eulertigs.k_17.d_na	na	1086.12	36034436	195.69	6797548	1.25	829864	Str	999964	1281.81	36034436	1.2500450016200584	21.089559068622663
human_microbiome_illumina_srs063932.unitigs_minfreq2_k32	1	cbl	none	17	na	314796150	1081325948	cbl.human_microbiome_illumina_srs063932.unitigs_minfreq2_k32.S_none.k_17.d_na	na	na	na	265.96000000000004	1905200	10.49	1494948	Neg	1000000	265.96000000000004	1905200	10.49	37.99151927366329
